the_geom,Short_Name,School_ID,Network,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
POINT (-87.74661383938387 41.891816141953214),KIPP CHICAGO - CREATE,400146,Charter,4818 W OHIO ST,60644,Charter,ES,"5, 6, 7, 8",41.89181614,-87.74661384,1(773)938-8553,3,AUSTIN,37,Emma M. Mitts
POINT (-87.6537265378718 41.691969313672274),CAMELOT - CHICAGO EXCEL HS,400147,Options,1257 W 111TH ST,60643,Contract,HS,"9, 10, 11, 12",41.69196931,-87.65372654,1(773)629-8379,13,MORGAN PARK,34,Carrie M. Austin
POINT (-87.68406493865558 41.84544601504087),INSTITUTO - LOZANO HS,400148,Options,2570 S BLUE ISLAND AVE,60608,Charter,HS,"9, 10, 11, 12",41.84544602,-87.68406494,1(773)696-3610,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.71102498480566 41.801762245391835),UNO - SOCCER HS,400149,Charter,5025 S SAINT LOUIS AVE,60632,Charter,HS,"8, 9, 10, 11",41.80176225,-87.71102498,1(312)455-5446,8,GAGE PARK,14,Edward M. Burke
POINT (-87.60697990879785 41.73013138418161),YCCS - CHATHAM,400150,Options,9035 S LANGLEY AVE,60619,Charter,HS,"10, 11, 12",41.73013139,-87.60697991,1(773)651-1500,12,CHATHAM,8,Michelle A. Harris
POINT (-87.7014173913643 41.88731749028673),LEARN - 7,400151,Charter,3021 W CARROLL AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.88731749,-87.70141739,1(773)584-4350,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.69323838455642 41.81310944439286),UNO - BRIGHTON PARK,400153,Charter,4420 S FAIRFIELD AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.81310945,-87.69323838,1(312)455-5434,8,BRIGHTON PARK,15,Toni L. Foulkes
POINT (-87.60257331721643 41.706666858314506),NOBLE - BUTLER HS,400156,Charter,821 E 103RD ST,60628,Charter,HS,"9, 10, 11",41.70666686,-87.60257332,1(312)835-1863,13,PULLMAN,9,Anthony A. Beale
POINT (-87.55620144124543 41.73462237120126),NOBLE - BAKER HS,400157,Charter,2710 E 89TH ST,60617,Charter,HS,"9, 10, 11",41.73462237,-87.55620144,1(773)535-6340,12,SOUTH CHICAGO,7,Gregory Mitchell
POINT (-87.75752152784457 41.9221811558643),CHRISTOPHER HOUSE,400159,Charter,5235 W BELDEN AVE,60639,Charter,ES,"K, 1, 2, 3",41.92218116,-87.75752153,1(773)472-1083,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.61796787063743 41.679318442476),CHICAGO COLLEGIATE,400161,Charter,11816 S INDIANA AVE,60628,Charter,HS,"4, 5, 6, 7",41.67931844,-87.61796787,1(773)536-9098,13,WEST PULLMAN,9,Anthony A. Beale
POINT (-87.74112862663965 41.938988427629674),INTRINSIC HS,400162,Charter,4540 W BELMONT AVE,60641,Charter,HS,"7, 8, 9, 10, 11",41.93898843,-87.74112863,1(708)887-2735,1,IRVING PARK,30,Ariel E. Reboyras
POINT (-87.63996733091673 41.79355626721791),KIPP CHICAGO - BLOOM,400163,Charter,5515 S LOWE AVE,60621,Charter,ES,"5, 6, 7",41.79355627,-87.63996733,1(773)938-8565,11,ENGLEWOOD,20,Willie B. Cochran
POINT (-87.68590261126784 41.84595667350128),INSTITUTO - LOZANO MASTERY HS,400164,Options,2520 S WESTERN AVE,60608,Charter,HS,"9, 10, 11, 12",41.84595667,-87.68590261,1(773)696-3610 x4645,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.70272393872818 41.887319908674456),LEARN - MIDDLE,400165,Charter,3021 W CARROLL AVE,60612,Charter,ES,"6, 7, 8",41.88731991,-87.70272394,1(773)584-4300,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.68396339328174 41.79520095247124),HORIZON - SOUTHWEST,400167,Charter,5401 S. WESTERN,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.79520095,-87.68396339,1(773)498-3355,8,GAGE PARK,15,Toni L. Foulkes
POINT (-87.7596751723386 41.917266408665725),NOBLE - ITW SPEER HS,400169,Charter,5321 W GRAND AVE,60639,Charter,HS,"9, 10",41.91726641,-87.75967517,1(773)278-6895,3,BELMONT CRAGIN,37,Emma M. Mitts
POINT (-87.64557693593237 41.90687879459018),NOBLE - ACADEMY HS,400170,Charter,1443 N OGDEN AVE,60610,Charter,HS,"9, 10",41.9068788,-87.64557694,1(773)862-1449,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
POINT (-87.6535352484652 41.694670738683605),FOUNDATIONS,400171,Charter,1233 W. 109TH STREET,60643,Charter,HS,"6, 7, 8",41.69467074,-87.65353525,1(773)298-5800,13,MORGAN PARK,34,Carrie M. Austin
POINT (-87.70264475134516 41.80822578510756),PATHWAYS - BRIGHTON PARK HS,400173,Options,3124 W. 47TH STREET,60632,ALOP,HS,"9, 10, 11, 12",41.80822579,-87.70264475,1(773)588-5007,8,BRIGHTON PARK,14,Edward M. Burke
POINT (-87.55648708348222 41.75974863927389),CAMELOT - EXCEL SOUTH SHORE HS,400175,Options,7530 S SOUTH SHORE DR,60649,Contract,HS,"9, 10, 11, 12",41.75974864,-87.55648708,1(773)902-7800,9,WOODLAWN,7,Gregory Mitchell
POINT (-87.69073009115593 41.76592891992978),CAMELOT - EXCEL SOUTHWEST HS,400176,Options,7014 S WASHTENAW AVE,60629,Contract,HS,"9, 10, 11, 12",41.76592892,-87.69073009,1(773)424-0721,10,AUBURN GRESHAM,17,Latasha R. Thomas
POINT (-87.57326751568073 41.73717393358173),CHICAGO VOCATIONAL HS,609674,Network 12,2100 E 87TH ST,60617,District,HS,"9, 10, 11, 12",41.73717393,-87.57326752,1(773)535-6100,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.61763743460318 41.84022557168194),DUNBAR HS,609676,Network 9,3000 S KING DR,60616,District,HS,"9, 10, 11, 12",41.84022557,-87.61763743,1(773)534-9000,9,DOUGLAS,4,"William ""Will"" D. Burns"
POINT (-87.62767532291659 41.87306592282553),JONES HS,609678,ISP,700 S STATE ST,60605,District,HS,"9, 10, 11, 12",41.87306592,-87.62767532,1(773)534-8600,6,LOOP,4,"William ""Will"" D. Burns"
POINT (-87.76104831561555 41.92005939899792),PROSSER HS,609679,Network 3,2148 N LONG AVE,60639,District,HS,"9, 10, 11, 12",41.9200594,-87.76104832,1(773)534-3200,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.6353847656341 41.90157516912679),PAYTON HS,609680,ISP,1034 N WELLS ST,60610,District,HS,"9, 10, 11, 12",41.90157517,-87.63538477,1(773)534-0034,6,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
POINT (-87.66227784587741 41.80288137497483),RICHARDS HS,609682,Network 8,5009 S LAFLIN ST,60609,District,HS,"9, 10, 11, 12",41.80288138,-87.66227785,1(773)535-4945,8,NEW CITY,20,Willie B. Cochran
POINT (-87.73523755588572 41.91167369206698),NORTH-GRAND HS,609691,Network 5,4338 W WABANSIA AVE,60639,District,HS,"9, 10, 11, 12",41.91167369,-87.73523756,1(773)534-8520,5,HUMBOLDT PARK,36,Nicholas Sposato
POINT (-87.63541036888441 41.74578123023072),SIMEON HS,609692,Network 11,8147 S VINCENNES AVE,60620,District,HS,"9, 10, 11, 12",41.74578123,-87.63541037,1(773)535-3200,11,CHATHAM,21,"Howard B. Brookins, Jr."
POINT (-87.70733230830211 41.88997720311543),WESTINGHOUSE HS,609693,Network 5,3223 W FRANKLIN BLVD,60624,District,HS,"9, 10, 11, 12",41.8899772,-87.70733231,1(773)534-6400,5,HUMBOLDT PARK,28,Jason C. Ervin
POINT (-87.7244704643747 41.79146390854953),HANCOCK HS,609694,Network 8,4034 W 56TH ST,60629,District,HS,"9, 10, 11, 12",41.79146391,-87.72447046,1(773)535-2410,8,WEST ELSDON,13,Marty Quinn
POINT (-87.67948421494859 41.97506725585589),AMUNDSEN HS,609695,Network 2,5110 N DAMEN AVE,60625,District,HS,"9, 10, 11, 12",41.97506726,-87.67948421,1(773)534-2320,2,LINCOLN SQUARE,40,Patrick O'Connor
POINT (-87.72109744629778 41.749375609339616),BOGAN HS,609698,Network 10,3939 W 79TH ST,60652,District,HS,"9, 10, 11, 12",41.74937561,-87.72109745,1(773)535-2180,10,ASHBURN,18,Lona Lane
POINT (-87.70870563225235 41.84855987384877),FARRAGUT HS,609704,Network 7,2345 S CHRISTIANA AVE,60623,District,HS,"PK, 9, 10, 11, 12",41.84855987,-87.70870563,1(773)534-1300,7,SOUTH LAWNDALE,22,Ricardo Munoz
POINT (-87.63757205080117 41.68995072454672),FENGER HS,609705,Network 13,11220 S WALLACE ST,60628,District,HS,"9, 10, 11, 12",41.68995073,-87.63757205,1(773)535-5430,13,ROSELAND,34,Carrie M. Austin
POINT (-87.63715271773849 41.7697137956223),ROBESON HS,609707,Network 11,6835 S NORMAL BLVD,60621,District,HS,"9, 10, 11, 12",41.7697138,-87.63715272,1(773)535-3800,11,ENGLEWOOD,6,Roderick T. Sawyer
POINT (-87.75416654390553 41.939796767286225),FOREMAN HS,609708,Network 3,3235 N LECLAIRE AVE,60641,District,HS,"9, 10, 11, 12",41.93979677,-87.75416654,1(773)534-3400,1,PORTAGE PARK,31,Ray Suarez
POINT (-87.6889539419451 41.79101283821026),GAGE PARK HS,609709,Network 8,5630 S ROCKWELL ST,60629,District,HS,"9, 10, 11, 12",41.79101284,-87.68895394,1(773)535-9230,8,GAGE PARK,15,Toni L. Foulkes
POINT (-87.6206234362719 41.71837234558635),HARLAN HS,609710,Network 12,9652 S MICHIGAN AVE,60628,District,HS,"7, 8, 9, 10, 11, 12",41.71837235,-87.62062344,1(773)535-5400,12,ROSELAND,9,Anthony A. Beale
POINT (-87.6690892964138 41.77512408303257),HARPER HS,609711,Network 11,6520 S WOOD ST,60636,District,HS,"9, 10, 11, 12",41.77512408,-87.6690893,1(773)535-9150,11,WEST ENGLEWOOD,15,Toni L. Foulkes
POINT (-87.60172726636009 41.75374795516494),HIRSCH HS,609712,Network 12,7740 S INGLESIDE AVE,60619,District,HS,"9, 10, 11, 12",41.75374796,-87.60172727,1(773)535-3100,12,GREATER GRAND CROSSING,8,Michelle A. Harris
POINT (-87.58661500994783 41.78225692669282),HYDE PARK HS,609713,Network 9,6220 S STONY ISLAND AVE,60637,District,HS,"9, 10, 11, 12",41.78225693,-87.58661501,1(773)535-0880,9,WOODLAWN,5,Leslie A. Hairston
POINT (-87.69463865990906 41.81872906307833),KELLY HS,609715,Network 8,4136 S CALIFORNIA AVE,60632,District,HS,"9, 10, 11, 12",41.81872906,-87.69463866,1(773)535-4900,8,BRIGHTON PARK,12,George A. Cardenas
POINT (-87.73599882158966 41.92791840231072),KELVYN PARK HS,609716,Network 4,4343 W WRIGHTWOOD AVE,60639,District,HS,"7, 8, 9, 10, 11, 12",41.9279184,-87.73599882,1(773)534-4200,4,HERMOSA,31,Ray Suarez
POINT (-87.7808397551086 41.7899612521533),KENNEDY HS,609718,Network 10,6325 W 56TH ST,60638,District,HS,"9, 10, 11, 12",41.78996125,-87.78083976,1(773)535-2325,10,GARFIELD RIDGE,13,Marty Quinn
POINT (-87.66895268958682 41.95476406721259),LAKE VIEW HS,609719,Network 2,4015 N ASHLAND AVE,60613,District,HS,"9, 10, 11, 12",41.95476407,-87.66895269,1(773)534-5440,2,LAKE VIEW,47,Ameya Pawar
POINT (-87.69101262674111 41.94664457419042),LANE TECH HS,609720,Network 4,2501 W ADDISON ST,60618,District,HS,"7, 8, 9, 10, 11, 12",41.94664458,-87.69101263,1(773)534-5400,4,NORTH CENTER,47,Ameya Pawar
POINT (-87.69989559044011 41.870938955765155),MANLEY HS,609722,Network 5,2935 W POLK ST,60612,District,HS,"9, 10, 11, 12",41.87093896,-87.69989559,1(773)534-6900,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.70805006977712 41.878444085129374),MARSHALL HS,609723,ISP,3250 W ADAMS ST,60624,District,HS,"9, 10, 11, 12",41.87844409,-87.70805007,1(773)534-6455,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.7024963956971 41.98758868185385),MATHER HS,609724,Network 2,5835 N LINCOLN AVE,60659,District,HS,"9, 10, 11, 12",41.98758868,-87.7024964,1(773)534-2350,2,WEST RIDGE,40,Patrick O'Connor
POINT (-87.66565754522058 41.6920350088894),MORGAN PARK HS,609725,Network 10,1744 W PRYOR AVE,60643,District,HS,"7, 8, 9, 10, 11, 12",41.69203501,-87.66565755,1(773)535-2550,10,MORGAN PARK,19,Matthew J. O'Shea
POINT (-87.61635260657202 41.692762528429355),BROOKS HS,609726,Network 13,250 E 111TH ST,60628,District,HS,"9, 10, 11, 12",41.69276253,-87.61635261,1(773)535-9930,13,ROSELAND,9,Anthony A. Beale
POINT (-87.61979634572873 41.82387996738068),PHILLIPS HS,609727,AUSL,244 E PERSHING RD,60653,District,HS,"9, 10, 11, 12",41.82387997,-87.61979635,1(773)535-1603,9,DOUGLAS,3,Patricia R. Dowell
POINT (-87.71481861559978 41.96482788378516),ROOSEVELT HS,609728,Network 1,3436 W WILSON AVE,60625,District,HS,"9, 10, 11, 12",41.96482788,-87.71481862,1(773)534-5000,1,ALBANY PARK,33,Deborah Mell
POINT (-87.73561211048235 41.94636454274745),SCHURZ HS,609729,Network 1,3601 N MILWAUKEE AVE,60641,District,HS,"9, 10, 11, 12",41.94636454,-87.73561211,1(773)534-3420,1,IRVING PARK,45,John Arena
POINT (-87.66713618982065 41.98902853847887),SENN HS,609730,Network 2,5900 N GLENWOOD AVE,60660,District,HS,"9, 10, 11, 12",41.98902854,-87.66713619,1(773)534-2365,2,EDGEWATER,48,Harry Osterman
POINT (-87.78351523288265 41.93563358725084),STEINMETZ HS,609732,Network 3,3030 N MOBILE AVE,60634,District,HS,"9, 10, 11, 12",41.93563359,-87.78351523,1(773)534-3030,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.66919214534073 42.002687558010145),SULLIVAN HS,609733,Network 2,6631 N BOSWORTH AVE,60626,District,HS,"9, 10, 11, 12",42.00268756,-87.66919215,1(773)534-2000,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.79154724941422 41.98296098619859),TAFT HS,609734,Network 1,6530 W BRYN MAWR AVE,60631,District,HS,"7, 8, 9, 10, 11, 12",41.98296099,-87.79154725,1(773)534-1000,1,NORWOOD PARK,41,Mary O'Connor
POINT (-87.64296648354815 41.80751007096626),TILDEN HS,609735,Network 8,4747 S UNION AVE,60609,District,HS,"9, 10, 11, 12",41.80751007,-87.64296648,1(773)535-1625,8,NEW CITY,11,James A. Balcer
POINT (-87.71338625328654 41.97318504807329),VON STEUBEN HS,609737,Network 1,5039 N KIMBALL AVE,60625,District,HS,"9, 10, 11, 12",41.97318505,-87.71338625,1(773)534-5100,1,NORTH PARK,39,Margaret Laurino
POINT (-87.64600935976243 41.91826831075271),LINCOLN PARK HS,609738,ISP,2001 N ORCHARD ST,60614,District,HS,"9, 10, 11, 12",41.91826831,-87.64600936,1(773)534-8130,4,LINCOLN PARK,43,Michele Smith
POINT (-87.53757030027741 41.688136935625785),WASHINGTON HS,609739,Network 13,3535 E 114TH ST,60617,District,HS,"9, 10, 11, 12",41.68813694,-87.5375703,1(773)535-5725,13,EAST SIDE,10,Susie Sadlowski Garza
POINT (-87.66748286896365 41.89899470698043),WELLS HS,609740,ISP,936 N ASHLAND AVE,60622,District,HS,"9, 10, 11, 12",41.89899471,-87.66748287,1(773)534-7010,6,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.71801374323086 41.780526386627955),HUBBARD HS,609741,Network 10,6200 S HAMLIN AVE,60629,District,HS,"9, 10, 11, 12",41.78052639,-87.71801374,1(773)535-2200,10,WEST LAWN,23,Michael R. Zalewski
POINT (-87.72238621544285 41.98297252121619),NORTHSIDE LEARNING HS,609744,Network 1,3730 W BRYN MAWR AVE,60659,District,HS,"9, 10, 11, 12",41.98297252,-87.72238622,1(773)534-5180,1,NORTH PARK,39,Margaret Laurino
POINT (-87.67594676756123 41.75985242841147),SOUTHSIDE HS,609745,Network 11,7342 S HOYNE AVE,60636,District,HS,"11, 12",41.75985243,-87.67594677,1(773)535-9100,11,WEST ENGLEWOOD,17,Latasha R. Thomas
POINT (-87.59042088945237 41.803772118508014),KENWOOD HS,609746,Network 9,5015 S BLACKSTONE AVE,60615,District,HS,"7, 8, 9, 10, 11, 12",41.80377212,-87.59042089,1(773)535-1350,9,KENWOOD,4,"William ""Will"" D. Burns"
POINT (-87.6952610158806 41.84253334794401),YORK HS,609748,Network 11,2700 S CALIFORNIA AVE,60608,District,HS,"9, 10, 11, 12",41.84253335,-87.69526102,1(773)535-7021,7,SOUTH LAWNDALE,24,Michael D. Chandler
POINT (-87.70870780077357 41.98131528213096),NORTHSIDE PREP HS,609749,Network 1,5501 N KEDZIE AVE,60625,District,HS,"9, 10, 11, 12",41.98131528,-87.7087078,1(773)534-3954,1,NORTH PARK,40,Patrick O'Connor
POINT (-87.6687222293137 41.86436548208224),SIMPSON HS,609750,Network 6,1321 S PAULINA ST,60608,District,HS,"6, 7, 8, 9, 10, 11, 12",41.86436548,-87.66872223,1(773)534-7812,6,NEAR WEST SIDE,28,Jason C. Ervin
POINT (-87.60387386164147 41.81367545211025),KING HS,609751,Network 9,4445 S DREXEL BLVD,60653,District,HS,"9, 10, 11, 12",41.81367545,-87.60387386,1(773)535-1180,9,KENWOOD,4,"William ""Will"" D. Burns"
POINT (-87.71776967268775 41.69122074178622),CHICAGO AGRICULTURE HS,609753,ISP,3857 W 111TH ST,60655,District,HS,"9, 10, 11, 12",41.69122074,-87.71776967,1(773)535-2500,10,MOUNT GREENWOOD,19,Matthew J. O'Shea
POINT (-87.61921554223582 41.83055497708962),CHICAGO MILITARY HS,609754,Service Leadership Academies,3519 S GILES AVE,60653,District,HS,"9, 10, 11, 12",41.83055498,-87.61921554,1(773)534-9750,9,DOUGLAS,3,Patricia R. Dowell
POINT (-87.6642333434002 41.878602532328486),YOUNG HS,609755,ISP,211 S LAFLIN ST,60607,District,HS,"7, 8, 9, 10, 11, 12",41.87860253,-87.66423334,1(773)534-7500,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.72204165467807 41.803060206697396),CURIE HS,609756,Network 8,4959 S ARCHER AVE,60632,District,HS,"9, 10, 11, 12",41.80306021,-87.72204165,1(773)535-2100,8,ARCHER HEIGHTS,14,Edward M. Burke
POINT (-87.68690614585311 41.9026257915793),CLEMENTE HS,609759,ISP,1147 N WESTERN AVE,60622,District,HS,"9, 10, 11, 12",41.90262579,-87.68690615,1(773)534-4000,5,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.59062038515513 41.65628995142258),CARVER MILITARY HS,609760,Service Leadership Academies,13100 S DOTY AVE,60627,District,HS,"9, 10, 11, 12",41.65628995,-87.59062039,1(773)535-5250,13,RIVERDALE,9,Anthony A. Beale
POINT (-87.60121587665988 41.70665961641773),CORLISS HS,609761,Network 13,821 E 103RD ST,60628,District,HS,"9, 10, 11, 12",41.70665962,-87.60121588,1(773)535-5115,13,PULLMAN,9,Anthony A. Beale
POINT (-87.65374921077066 41.705858935588914),JULIAN HS,609762,Network 13,10330 S ELIZABETH ST,60643,District,HS,"9, 10, 11, 12",41.70585894,-87.65374921,1(773)535-5170,10,WASHINGTON HEIGHTS,34,Carrie M. Austin
POINT (-87.66373244610855 41.85266659923651),JUAREZ HS,609764,ISP,2150 S LAFLIN ST,60608,District,HS,"9, 10, 11, 12",41.8526666,-87.66373245,1(773)534-7030,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.76466317336318 41.960363795857305),VAUGHN HS,609766,Network 1,4355 N LINDER AVE,60641,District,HS,"9, 10, 11, 12",41.9603638,-87.76466317,1(773)534-3600,1,PORTAGE PARK,38,Timothy M. Cullerton
POINT (-87.64124410920577 41.793553466470584),HOPE HS,609768,Network 11,5515 S LOWE AVE,60621,District,HS,"9, 10, 11, 12",41.79355347,-87.64124411,1(773)535-3160,11,ENGLEWOOD,20,Willie B. Cochran
POINT (-87.62531481527424 41.84967541708467),GRAHAM HS,609769,Network 6,2347 S WABASH AVE,60616,District,HS,"9, 10, 11, 12",41.84967542,-87.62531482,1(773)534-9257,6,NEAR SOUTH SIDE,3,Patricia R. Dowell
POINT (-87.53297604181783 41.69873879907316),ADDAMS,609772,ISP,10810 S AVENUE H,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6987388,-87.53297604,1(773)535-6210,13,EAST SIDE,10,Susie Sadlowski Garza
POINT (-87.65622866744738 41.93412629749406),AGASSIZ,609773,ISP,2851 N SEMINARY AVE,60657,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9341263,-87.65622867,1(773)534-5725,4,LAKE VIEW,44,Thomas Tunney
POINT (-87.65065315649788 41.83385390882868),ARMOUR,609777,Network 6,950 W 33RD PL,60608,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.83385391,-87.65065316,1(773)535-4530,6,BRIDGEPORT,11,James A. Balcer
POINT (-87.6844418273605 42.01014998373587),ARMSTRONG G,609779,Network 2,2110 W GREENLEAF AVE,60645,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",42.01014998,-87.68444183,1(773)534-2150,2,WEST RIDGE,50,Debra L. Silverstein
POINT (-87.72174231678147 41.91604463306548),MARINE LEADERSHIP AT AMES HS,609780,Service Leadership Academies,1920 N HAMLIN AVE,60647,District,HS,"7, 8, 9, 10, 11, 12",41.91604463,-87.72174232,1(773)534-4970,4,LOGAN SQUARE,26,Roberto Maldonado
POINT (-87.68104105313787 41.94506222430422),AUDUBON,609782,Network 4,3500 N HOYNE AVE,60618,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.94506223,-87.68104105,1(773)534-5470,4,NORTH CENTER,47,Ameya Pawar
POINT (-87.68041755457105 41.867832284629486),JEFFERSON HS,609783,Network 11,1100 S HAMILTON AVE,60612,District,HS,"6, 7, 8, 9, 10, 11, 12",41.86783229,-87.68041755,1(312)433-7110,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.59165381085134 41.74824699397219),AVALON PARK,609786,Network 12,8045 S KENWOOD AVE,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.74824699,-87.59165381,1(773)535-6615,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.65807422406259 41.705131011309035),BARNARD,609788,Network 10,10354 S CHARLES ST,60643,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.70513101,-87.65807422,1(773)535-2625,10,BEVERLY,19,Matthew J. O'Shea
POINT (-87.73938835103296 41.93251058278424),BARRY,609789,Network 4,2828 N KILBOURN AVE,60641,District,ES,"PK, K, 1, 2, 3, 4, 5, 6",41.93251058,-87.73938835,1(773)534-3455,4,HERMOSA,31,Ray Suarez
POINT (-87.67092712872531 41.75419384978611),BARTON,609790,Network 11,7650 S WOLCOTT AVE,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.75419385,-87.67092713,1(773)535-3260,11,AUBURN GRESHAM,17,Latasha R. Thomas
POINT (-87.65353242019691 41.77424645004429),BASS,609791,Network 11,1140 W 66TH ST,60621,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.77424645,-87.65353242,1(773)535-3275,11,ENGLEWOOD,16,JoAnn Thompson
POINT (-87.70215096179008 41.95821983888024),BATEMAN,609792,Network 1,4220 N RICHMOND ST,60618,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.95821984,-87.70215096,1(773)534-5055,1,IRVING PARK,33,Deborah Mell
POINT (-87.64745284245632 41.78494237979363),NICHOLSON,609793,Network 11,6006 S PEORIA ST,60621,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.78494238,-87.64745284,1(773)535-3285,11,ENGLEWOOD,16,JoAnn Thompson
POINT (-87.70930366577336 41.97150609649997),EDISON,609794,Network 1,4929 N SAWYER AVE,60625,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9715061,-87.70930367,1(773)534-0540,1,ALBANY PARK,33,Deborah Mell
POINT (-87.77041752738367 41.867812567517284),CLARK ES,609795,Network 3,1045 S MONITOR AVE,60644,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.86781257,-87.77041753,1(773)534-6225,3,AUSTIN,29,Chris Taliaferro
POINT (-87.75756503918218 41.97239394466906),BEAUBIEN,609796,Network 1,5025 N LARAMIE AVE,60630,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.97239395,-87.75756504,1(773)534-3500,1,JEFFERSON PARK,45,John Arena
POINT (-87.70585481200737 41.885321039474746),BEIDLER,609797,Network 5,3151 W WALNUT ST,60612,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.88532104,-87.70585481,1(773)534-6811,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.73401972967199 41.95893849363402),BELDING,609798,Network 1,4257 N TRIPP AVE,60641,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.95893849,-87.73401973,1(773)534-3590,1,IRVING PARK,39,Margaret Laurino
POINT (-87.68601824433433 41.9495297982333),BELL,609799,Network 4,3730 N OAKLEY AVE,60618,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9495298,-87.68601824,1(773)534-5150,4,NORTH CENTER,47,Ameya Pawar
POINT (-87.61739045570121 41.71043494844108),BENNETT,609800,Network 13,10115 S PRAIRIE AVE,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.71043495,-87.61739046,1(773)535-5460,13,ROSELAND,9,Anthony A. Beale
POINT (-87.66496784467402 41.95078051805864),BLAINE,609803,Network 4,1420 W GRACE ST,60613,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.95078052,-87.66496784,1(773)534-5750,4,LAKE VIEW,44,Thomas Tunney
POINT (-87.69746282205826 42.00341160727272),BOONE,609804,Network 2,6710 N WASHTENAW AVE,60645,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",42.00341161,-87.69746282,1(773)534-2160,2,WEST RIDGE,50,Debra L. Silverstein
POINT (-87.66936564961709 41.74933916080359),JOPLIN,609805,Network 11,7931 S HONORE ST,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.74933916,-87.66936565,1(773)535-3425,11,AUBURN GRESHAM,17,Latasha R. Thomas
POINT (-87.5571419710349 41.754365131246374),BRADWELL,609806,AUSL,7736 S BURNHAM AVE,60649,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.75436513,-87.55714197,1(773)535-6600,12,SOUTH SHORE,7,Gregory Mitchell
POINT (-87.70873128447809 41.75345719265228),HAMPTON,609807,Network 10,3434 W 77TH ST,60652,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.75345719,-87.70873128,1(773)535-4030,10,ASHBURN,18,Lona Lane
POINT (-87.63363213619498 41.686659969507105),HALEY,609808,Network 13,11411 S EGGLESTON AVE,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.68665997,-87.63363214,1(773)535-5340,13,ROSELAND,34,Carrie M. Austin
POINT (-87.69629419836866 41.9309660958041),BRENTANO,609809,Network 4,2723 N FAIRFIELD AVE,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9309661,-87.6962942,1(773)534-4100,4,LOGAN SQUARE,32,Scott Waguespack
